"YYYY","MM","DD","ATMP","WTMP"
"8781",2000,2,6,14.3,22.2
"9021",2000,2,7,21.2,22.6
"9261",2000,2,8,22.1,22.7
"9501",2000,2,9,14.9,22.6
"9741",2000,2,10,13.8,22
"9981",2000,2,11,16.2,22.4
"10221",2000,2,12,21.5,23.4
"10461",2000,2,13,22.6,22.9
"10701",2000,2,14,23.7,22.7
"10941",2000,2,15,22.1,22.7
"11181",2000,2,16,22.9,23.1
"11421",2000,2,17,22.4,23.3
"11661",2000,2,18,23.5,23.9
"11901",2000,2,19,23.7,24
"12141",2000,2,20,22.2,24
"12381",2000,2,21,18.9,23.7
"12621",2000,2,22,18.7,23.6
"12861",2000,2,23,21.9,23.8
"13101",2000,2,24,21.8,24.1
"13341",2000,2,25,22.4,24.2
"13581",2000,2,26,22.7,24.2
"13821",2000,2,27,22.7,24.3
"14061",2000,2,28,20.9,24
"14301",2000,2,29,23.2,24.3
"14541",2000,3,1,22.9,24.3
"14781",2000,3,2,21,24.3
"15021",2000,3,3,21.5,24.1
"15261",2000,3,4,22,24.1
"15501",2000,3,5,23.1,24.2
"15741",2000,3,6,19.7,24.2
"15981",2000,3,7,22.8,24.4
"16221",2000,3,8,22.6,24.1
"16461",2000,3,9,22.7,23.9
"16701",2000,3,10,22.6,24
"16941",2000,3,11,23.9,24.1
"17181",2000,3,12,24.2,23.9
"17421",2000,3,13,23.2,24
"17661",2000,3,14,22.7,23.7
"17901",2000,3,15,23.9,24.5
"18141",2000,3,16,24.7,24.5
"18381",2000,3,17,24.7,24.8
"18621",2000,3,18,24.9,24.9
"18861",2000,3,19,24.2,25.1
"19101",2000,3,20,24.7,24.9
"19341",2000,3,21,23.9,24.9
"19821",2000,3,23,21.6,25.3
"20061",2000,3,24,21.4,24.7
"20301",2000,3,25,22.3,24.2
"20541",2000,3,26,22.1,24.9
"20781",2000,3,27,23.7,25.2
"21021",2000,3,28,22.7,25
"21261",2000,3,29,24.8,24.4
"21501",2000,3,30,25.2,24.5
"21741",2000,3,31,25,25.2
"21981",2000,4,1,25.1,25.1
"22221",2000,4,2,23.9,25
"22701",2000,4,4,24.3,24.9
"22941",2000,4,5,16.4,23.5
"23181",2000,4,6,20.9,24.4
"23421",2000,4,7,23.7,24
"23661",2000,4,8,24.7,25
"23901",2000,4,9,18.4,24.4
"24141",2000,4,10,21.5,24.4
"24381",2000,4,11,23.1,24.3
"24621",2000,4,12,24.8,24.5
"24861",2000,4,13,25.2,24.5
"25101",2000,4,14,25.1,24.6
"25341",2000,4,15,24.5,24.8
"25581",2000,4,16,24.1,24.6
"25821",2000,4,17,23.8,25
"26061",2000,4,18,24.2,24.8
"26301",2000,4,19,20.5,24.2
"26541",2000,4,20,23.6,24.6
"26781",2000,4,21,24.2,24.9
"27021",2000,4,22,24.2,24.9
"27261",2000,4,23,19.3,24.5
"27501",2000,4,24,25.2,24.8
"27741",2000,4,25,25.4,25.1
"3109",2000,6,28,27.9,28.6
"3133",2000,6,29,28,28.8
"3157",2000,6,30,28,28.9
"3181",2000,7,1,28.1,28.9
"3205",2000,7,2,26.3,28.9
"3229",2000,7,3,25.3,28.8
"3253",2000,7,4,28.2,29
"3277",2000,7,5,28.2,28.9
"3301",2000,7,6,28.1,29.2
"3325",2000,7,7,28.2,29.3
"3349",2000,7,8,28.5,29.3
"3373",2000,7,9,28.4,29.5
"3397",2000,7,10,28.7,29.7
"3421",2000,7,11,28.6,30.1
"3445",2000,7,12,28.8,30.1
"3469",2000,7,13,28.6,29.8
"3493",2000,7,14,28.7,30
"3517",2000,7,15,28.9,29.7
"3541",2000,7,16,28.9,29.8
"3565",2000,7,17,28.9,29.1
"3589",2000,7,18,28.8,29.9
"3613",2000,7,19,28.8,30
"3637",2000,7,20,29,30.2
"3661",2000,7,21,29.2,30.1
"3685",2000,7,22,29.1,30.2
"3709",2000,7,23,29.2,29.8
"3733",2000,7,24,29.3,30.2
"3757",2000,7,25,29.2,30.1
"3781",2000,7,26,28,30.1
"3805",2000,7,27,28,30.2
"3829",2000,7,28,27.8,30.3
"3853",2000,7,29,27.7,30.1
"3877",2000,7,30,29,30
"3901",2000,7,31,29,29.9
"3925",2000,8,1,28.2,29.9
"3949",2000,8,2,28.8,29.7
"3973",2000,8,3,28.7,29.7
"3997",2000,8,4,29,29.7
